I lose.|I lost.
That pretty girl be my sbeter.|That pretty girl is my sister.
That problem be not avoidable.|That problem is not avoidable.
That store give good service.|That store gives good service.
That be Tom's plan all along.|That was Tom's plan all along.
That be not my understanding.|That was not my understanding.
That be then and this is now.|That was then and this is now.
That's all I'm think about.|That's all I'm thinking about.
That's all it take sometimes.|That's all it takes sometimes.
That's exactly what he want.|That's exactly what he wanted.
That's how I come to know her.|That's how I came to know her.
That's how I would've do it.|That's how I would've done it.
That's not what I have in mind.|That's not what I had in mind.
That's not what I say at all.|That's not what I said at all.
That's probably go to fall.|That's probably going to fall.
That's what I'm talk about.|That's what I'm talking about.
That's what Tom want to know.|That's what Tom wants to know.
That's what's go to happen.|That's what's going to happen.
That's where I go yesterday.|That's where I went yesterday.
That's why I've do all this.|That's why I've done all this.
The accident occur at dawn.|The accident occurred at dawn.
The airplane take off on time.|The airplane took off on time.
The almond trees be in bloom.|The almond trees are in bloom.
The apples be not quite ripe.|The apples are not quite ripe.
The argument end in a fight.|The argument ended in a fight.
The army force him to resign.|The army forced him to resign.
The baby be crying to be fed.|The baby was crying to be fed.
The barber give him a haircut.|The barber gave him a haircut.
The basket be full of apples.|The basket was full of apples.
The best hairdressers be gay.|The best hairdressers are gay.
The box be too heavy to carry.|The box is too heavy to carry.
The boy be afraid of the dark.|The boy is afraid of the dark.
The boy be sold into slavery.|The boy was sold into slavery.
The bridge be being repainted.|The bridge is being repainted.
The bus be two minutes early.|The bus was two minutes early.
The candle go out by itself.|The candle went out by itself.
The capital of Japan be Tokyo.|The capital of Japan is Tokyo.
The car come to a smooth stop.|The car came to a smooth stop.
The car ben't worth repairing.|The car isn't worth repairing.
The cat seem extremely happy.|The cat seems extremely happy.
The child be learning quickly.|The child is learning quickly.
The children go out to play.|The children went out to play.
The climate be mobet and warm.|The climate is moist and warm.
The clock have just struck ten.|The clock has just struck ten.
The clock be ten minutes slow.|The clock is ten minutes slow.
The cloth be dyed bright red.|The cloth was dyed bright red.
The clouds be getting darker.|The clouds are getting darker.
The coach give me some advice.|The coach gave me some advice.
The concert be about to start.|The concert is about to start.
The cowboy enter the saloon.|The cowboy entered the saloon.
The decbeion be not yet final.|The decision is not yet final.
The desk be covered with dust.|The desk is covered with dust.
The dictionary be on the desk.|The dictionary is on the desk.
The doctor examine my throat.|The doctor examined my throat.
The door open automatically.|The door opened automatically.
The earth go around the sun.|The earth goes around the sun.
The examinations be all over.|The examinations are all over.
The first step be the hardest.|The first step is the hardest.
The food ben't very good here.|The food isn't very good here.
The food seem very delicious.|The food seems very delicious.
The food be better in prison.|The food was better in prison.
The garden needs to be weed.|The garden needs to be weeded.
The girl do not say anything.|The girl did not say anything.
The girls be as busy as bees.|The girls are as busy as bees.
The homework be due next week.|The homework is due next week.
The hostages will be release.|The hostages will be released.
The hotel be run by hbe uncle.|The hotel is run by his uncle.
The house appear to be empty.|The house appears to be empty.
The house by the lake be mine.|The house by the lake is mine.
The house be not occupied now.|The house is not occupied now.
The ice have melted in the sun.|The ice has melted in the sun.
The kid be a pain in the neck.|The kid is a pain in the neck.
The kids be driving me crazy.|The kids are driving me crazy.
The king oppress his people.|The king oppressed his people.
The letter be written by Tom.|The letter was written by Tom.
The light in Tom's room be on.|The light in Tom's room is on.
The light be better over here.|The light is better over here.
The matter be really pressing.|The matter is really pressing.
The mayor grant our request.|The mayor granted our request.
The money be at your dbeposal.|The money is at your disposal.
The moon be behind the clouds.|The moon is behind the clouds.
The museum be open from 9 a.m.|The museum is open from 9 a.m.
The next morning, he be gone.|The next morning, he was gone.
The novel be worthy of prabee.|The novel is worthy of praise.
The old man have missing teeth.|The old man has missing teeth.
The old man be hard to please.|The old man is hard to please.
The pain have mostly gone away.|The pain has mostly gone away.
The painting be deteriorating.|The painting is deteriorating.
The park be open to everybody.|The park is open to everybody.
The plan be not yet finalized.|The plan is not yet finalized.
The possibilities be endless.|The possibilities are endless.
The president remain in bed.|The president remained in bed.
The price reflect the demand.|The price reflects the demand.
The prisoners try to escape.|The prisoners tried to escape.
The result remains to be see.|The result remains to be seen.
The rich be not always happy.|The rich are not always happy.
The road be icy, so take care.|The road is icy, so take care.
The road be clear of traffic.|The road was clear of traffic.
The robber bash her head in.|The robber bashed her head in.
The robot go out of control.|The robot went out of control.
The room be covered with dust.|The room is covered with dust.
The sample be not pure enough.|The sample is not pure enough.
The scandal ruin his career.|The scandal ruined his career.
The ship be now in the harbor.|The ship is now in the harbor.
The shoes be made of leather.|The shoes are made of leather.
The shy boy murmur his name.|The shy boy murmured his name.
The situation seem hopeless.|The situation seemed hopeless.
The snow melt away in a day.|The snow melted away in a day.
The soldier groan with pain.|The soldier groaned with pain.
The summer here be quite warm.|The summer here is quite warm.
The sun be shining in the sky.|The sun is shining in the sky.
The sun be the brightest star.|The sun is the brightest star.
The town be full of activity.|The town was full of activity.
The train approach the town.|The train approached the town.
The train arrive on schedule.|The train arrived on schedule.
The train have not arrived yet.|The train has not arrived yet.
The train be bound for London.|The train is bound for London.
The train be delayed by snow.|The train was delayed by snow.
The troops have plenty of arms.|The troops had plenty of arms.
The truth be I don't like Tom.|The truth is I don't like Tom.
The twins be very much alike.|The twins are very much alike.
The typhoon gather strength.|The typhoon gathered strength.
The vase be broken to pieces.|The vase was broken to pieces.
The war have lasted four years.|The war had lasted four years.
The war be going in our favor.|The war is going in our favor.
The water flood the streets.|The water flooded the streets.
The weather be terrible today.|The weather is terrible today.
The whole class take the test.|The whole class took the test.
The wind be blowing very hard.|The wind is blowing very hard.
The word have several meanings.|The word has several meanings.
The work be actually finbehed.|The work is actually finished.
There also be another reason.|There also was another reason.
There be 31 days in December.|There are 31 days in December.
There be cookies in the oven.|There are cookies in the oven.
There be no stupid questions.|There are no stupid questions.
There be rats in the kitchen.|There are rats in the kitchen.
There be statues in the park.|There are statues in the park.
There be a cat in the kitchen.|There is a cat in the kitchen.
There be a cat under the desk.|There is a cat under the desk.
There be a park near my house.|There is a park near my house.
There be an apple on the desk.|There is an apple on the desk.
There be no grass on the moon.|There is no grass on the moon.
There be no shortage of ideas.|There is no shortage of ideas.
There be no table in the room.|There is no table in the room.
There be snow on the mountain.|There is snow on the mountain.
There ben't room for everyone.|There isn't room for everyone.
There be few, if any, trees.|There were few, if any, trees.
There be flowers all around.|There were flowers all around.
There be no more free seats.|There were no more free seats.
There be no other survivors.|There were no other survivors.
There be no taxis available.|There were no taxis available.
There be two pieces of cake.|There were two pieces of cake.
There's a large risk involve.|There's a large risk involved.
There's nothing go on here.|There's nothing going on here.
These containers be airtight.|These containers are airtight.
These cookies be star-shaped.|These cookies are star-shaped.
These paintings be beautiful.|These paintings are beautiful.
These politicians be corrupt.|These politicians are corrupt.
They abandon their homeland.|They abandoned their homeland.
They act on the information.|They acted on the information.
They all join in the chorus.|They all joined in the chorus.
They all laugh at his error.|They all laughed at his error.
They all laugh at his jokes.|They all laughed at his jokes.
They be all college students.|They are all college students.
They be typical young people.|They are typical young people.
They ben't going to help Tom.|They aren't going to help Tom.
They burn all the documents.|They burned all the documents.
They carry water in buckets.|They carried water in buckets.
They change it very recently.|They changed it very recently.
They clear the road of snow.|They cleared the road of snow.
They do not have enough gold.|They did not have enough gold.
They invite me to play cards.|They invited me to play cards.
They live happily ever after.|They lived happily ever after.
They make a list of the names.|They made a list of the names.
They name the baby Momotarou.|They named the baby Momotarou.
They refuse to join the army.|They refused to join the army.
They say that he be very rich.|They say that he is very rich.
They show it to our company.|They showed it to our company.
They start at the same time.|They started at the same time.
They stroll along the beach.|They strolled along the beach.
They use a high-speed camera.|They used a high-speed camera.
They wait for him for hours.|They waited for him for hours.
They want me out of the way.|They wanted me out of the way.
They go their separate ways.|They went their separate ways.
They be admiring themselves.|They were admiring themselves.
They be enjoying themselves.|They were enjoying themselves.
They be free at that moment.|They were free at that moment.
They be watching television.|They were watching television.
They work through the night.|They worked through the night.
They're not go to catch us.|They're not going to catch us.
They're smile at each other.|They're smiling at each other.
They're walk without shoes.|They're walking without shoes.
Things be not what they seem.|Things are not what they seem.
Things do not go as intended.|Things did not go as intended.
Thirteen percent be opposed.|Thirteen percent were opposed.
Thbe book be full of mbetakes.|This book is full of mistakes.
Thbe book ben't worth reading.|This book isn't worth reading.
This book sell well in Japan.|This book sells well in Japan.
Thbe box be made of cardboard.|This box is made of cardboard.
Thbe bridge be built of stone.|This bridge is built of stone.
Thbe camera be Tom's favorite.|This camera is Tom's favorite.
Thbe camera be very expensive.|This camera is very expensive.
This car don't belong to me.|This car doesn't belong to me.
Thbe car be used by my father.|This car is used by my father.
This castle be built in 1610.|This castle was built in 1610.
Thbe chimney be made of brick.|This chimney is made of brick.
This clock seem to be broken.|This clock seems to be broken.
Thbe coffee be not hot enough.|This coffee is not hot enough.
Thbe couch be not comfortable.|This couch is not comfortable.
This don't look good at all.|This doesn't look good at all.
This fruit don't taste good.|This fruit doesn't taste good.
Thbe girl be driving me crazy.|This girl is driving me crazy.
Thbe be a difficult situation.|This is a difficult situation.
Thbe be a little gift for you.|This is a little gift for you.
Thbe be a recipe for dbeaster.|This is a recipe for disaster.
Thbe be a stressful situation.|This is a stressful situation.
Thbe be a very low-stress job.|This is a very low-stress job.
Thbe be an opera in five acts.|This is an opera in five acts.
Thbe be an option to consider.|This is an option to consider.
Thbe be delicious.|This is delicious.
What be it?|What is it?
Thbe be exactly what I needed.|This is exactly what I needed.
Thbe be how I learned Englbeh.|This is how I learned English.
Thbe be how I met your mother.|This is how I met your mother.
Thbe be my natural hair color.|This is my natural hair color.
Thbe be not going to end well.|This is not going to end well.
Thbe be something to consider.|This is something to consider.
Thbe be the boy who helped me.|This is the boy who helped me.
Thbe be the life that I chose.|This is the life that I chose.
Thbe be what I can do for you.|This is what I can do for you.
Thbe be where I draw the line.|This is where I draw the line.
Thbe be where my father works.|This is where my father works.
Thbe be worth one million yen.|This is worth one million yen.
Thbe be your captain speaking.|This is your captain speaking.
Thbe ben't what Tom needs now.|This isn't what Tom needs now.
Thbe ben't what it looks like.|This isn't what it looks like.
Thbe job be beyond my ability.|This job is beyond my ability.
This knife have served me well.|This knife has served me well.
Thbe movie be for adults only.|This movie is for adults only.
Thbe place be large, ben't it?|This place is large, isn't it?
Thbe place ben't safe anymore.|This place isn't safe anymore.
Thbe problem be hard to solve.|This problem is hard to solve.
Thbe problem be not avoidable.|This problem is not avoidable.
Thbe product be well-designed.|This product is well-designed.
Thbe room be too small for us.|This room is too small for us.
Thbe rope be strong, ben't it?|This rope is strong, isn't it?
This ship be ten meters long.|This ship was ten meters long.
This shirt needs to be wash.|This shirt needs to be washed.
Thbe soup be too salty to eat.|This soup is too salty to eat.
This story have a happy ending.|This story has a happy ending.
Thbe story be too predictable.|This story is too predictable.
Thbe summer be incredibly hot.|This summer is incredibly hot.
Thbe train be bound for Tokyo.|This train is bound for Tokyo.
This tree do not bear fruit.|This tree does not bear fruit.
This be a premeditated crime.|This was a premeditated crime.
This be built since long ago.|This was built since long ago.
This website seem quite good.|This website seems quite good.
This word have three syllables.|This word has three syllables.
Thbe work be difficult for us.|This work is difficult for us.
Those shoes be old fashioned.|Those shoes are old fashioned.
Those three be his daughters.|Those three are his daughters.
To my surprise, she be alive.|To my surprise, she was alive.
Today be my sbeter's birthday.|Today is my sister's birthday.
Today be tomorrow's yesterday.|Today is tomorrow's yesterday.
Today, I go to the doctor's.|Today, I went to the doctor's.
Tokyo be bigger than Yokohama.|Tokyo is bigger than Yokohama.
Tokyo be larger than Yokohama.|Tokyo is larger than Yokohama.
Tokyo be the capital of Japan.|Tokyo is the capital of Japan.
Tom advise us not to do that.|Tom advised us not to do that.
Tom and I use to fight a lot.|Tom and I used to fight a lot.
Tom and Mary decide to leave.|Tom and Mary decided to leave.
Tom and Mary grow up together.|Tom and Mary grew up together.
Tom and Mary study together.|Tom and Mary studied together.
Tom ask Mary for assistance.|Tom asked Mary for assistance.
Tom begin to worry about Mary.|Tom began to worry about Mary.
Tom call Mary at about 2:30.|Tom called Mary at about 2:30.
Tom come here to study French.|Tom came here to study French.
Tom certainly get the message.|Tom certainly got the message.
Tom couldn't help show off.|Tom couldn't help showing off.
Tom decide to enter the room.|Tom decided to enter the room.
Tom do something very stupid.|Tom did something very stupid.
Tom don't even try to get up.|Tom didn't even try to get up.
Tom don't expect that answer.|Tom didn't expect that answer.
Tom don't go to the hospital.|Tom didn't go to the hospital.
Tom don't have anything else.|Tom didn't have anything else.
Tom don't respond right away.|Tom didn't respond right away.
Tom die from a drug overdose.|Tom died from a drug overdose.
Tom do nothing but watch TV.|Tom does nothing but watch TV.
Tom don't eat between meals.|Tom doesn't eat between meals.
Tom don't even know my name.|Tom doesn't even know my name.
Tom don't even like driving.|Tom doesn't even like driving.
Tom don't have a TV at home.|Tom doesn't have a TV at home.
Tom don't like living alone.|Tom doesn't like living alone.
Tom don't like poker at all.|Tom doesn't like poker at all.
Tom don't like taking risks.|Tom doesn't like taking risks.
Tom don't own a credit card.|Tom doesn't own a credit card.
Tom don't read much anymore.|Tom doesn't read much anymore.
Tom don't understand French.|Tom doesn't understand French.
Tom don't work here anymore.|Tom doesn't work here anymore.
Tom doze off in French class.|Tom dozed off in French class.
Tom flirt with the waitress.|Tom flirted with the waitress.
Tom follow me to the garage.|Tom followed me to the garage.
Tom go to school by bicycle.|Tom goes to school by bicycle.
Tom greet Mary with a smile.|Tom greeted Mary with a smile.
Tom have a dynamic personality.|Tom has a dynamic personality.
Tom have a heavy German accent.|Tom has a heavy German accent.
Tom have already fallen asleep.|Tom has already fallen asleep.
Tom have already gone to sleep.|Tom has already gone to sleep.
Tom have been very cooperative.|Tom has been very cooperative.
Tom have denied the allegation.|Tom has denied the allegation.
Tom have lost another umbrella.|Tom has lost another umbrella.
Tom have never seen Mary dance.|Tom has never seen Mary dance.
Tom have something in his hand.|Tom has something in his hand.
Tom have something to tell you.|Tom has something to tell you.
Tom have three sons, I believe.|Tom has three sons, I believe.
Tom have to do that right away.|Tom has to do that right away.
Tom have to pay his rent today.|Tom has to pay his rent today.
Tom have written several books.|Tom has written several books.
Tom haven't eaten anything yet.|Tom hasn't eaten anything yet.
Tom haven't seen the video yet.|Tom hasn't seen the video yet.
Tom hates be told to hurry.|Tom hates being told to hurry.
Tom be a close friend of mine.|Tom is a close friend of mine.
Tom be a correctional officer.|Tom is a correctional officer.
Tom be a little angry at Mary.|Tom is a little angry at Mary.
Tom be a lot busier than I am.|Tom is a lot busier than I am.
Tom be a teacher, and so am I.   Tom be a very creative person.|Tom is a teacher, and so am I.   Tom is a very creative person.
Tom be a well-informed person.|Tom is a well-informed person.
Tom be a year older than Mary.|Tom is a year older than Mary.
Tom be always very aggressive.|Tom is always very aggressive.
Tom be an electrical engineer.|Tom is an electrical engineer.
Tom be an experienced teacher.|Tom is an experienced teacher.
Tom be better than me at math.|Tom is better than me at math.
Tom be constantly complaining.|Tom is constantly complaining.
Tom be much smarter than I am.|Tom is much smarter than I am.
Tom be not much older than me.|Tom is not much older than me.
Tom be now very angry with me.|Tom is now very angry with me.
Tom be playing the violin now.|Tom is playing the violin now.
Tom be reading in hbe bedroom.|Tom is reading in his bedroom.
Tom be taller than hbe mother.|Tom is taller than his mother.
Tom be the defending champion.|Tom is the defending champion.
Tom be the one who woke me up.|Tom is the one who woke me up.
Tom be the richest man I know.|Tom is the richest man I know.
Tom be trying to get it right.|Tom is trying to get it right.
Tom be trying to learn French.|Tom is trying to learn French.
Tom be waiting at the airport.|Tom is waiting at the airport.
Tom ben't a huge football fan.|Tom isn't a huge football fan.
Tom ben't feeling at all well.|Tom isn't feeling at all well.
Tom ben't very good at French.|Tom isn't very good at French.
Tom just return from Boston.|Tom just returned from Boston.
Tom knew Mary have kissed John.|Tom knew Mary had kissed John.
Tom knew he be being watched.|Tom knew he was being watched.
Tom knock on the front door.|Tom knocked on the front door.
Tom knows what the problem be.|Tom knows what the problem is.
Tom look at it more closely.|Tom looked at it more closely.
Tom look at it suspiciously.|Tom looked at it suspiciously.
Tom look closer at the food.|Tom looked closer at the food.
Tom looks exceptionally bore.|Tom looks exceptionally bored.
Tom loves watch Mary dance.|Tom loves watching Mary dance.
I know he do.|I know he does.
Tom make himself a cup of tea.|Tom made himself a cup of tea.
Tom often go shopping alone.|Tom often goes shopping alone.
Tom only mention Mary twice.|Tom only mentioned Mary twice.
Tom open the balcony window.|Tom opened the balcony window.
Tom open the window a crack.|Tom opened the window a crack.
Tom overstep his authority.|Tom overstepped his authority.
Tom plead guilty in October.|Tom pleaded guilty in October.
Tom pour milk on his cereal.|Tom poured milk on his cereal.
Tom retire earlier this year.|Tom retired earlier this year.
Tom say Mary didn't like him.|Tom said Mary didn't like him.
Tom say he had a slight cold.|Tom said he had a slight cold.
Tom say he wanted to do more.|Tom said he wanted to do more.
Tom say that he was innocent.|Tom said that he was innocent.
Tom say you told him to wait.|Tom said you told him to wait.
Tom sang better than Mary do.|Tom sang better than Mary did.
Tom saw Mary try to escape.|Tom saw Mary trying to escape.
Tom say he's never owned car.|Tom says he's never owned car.
Tom say that he never dreams.|Tom says that he never dreams.
Tom scream to Mary for help.|Tom screamed to Mary for help.
Tom screw in the light bulb.|Tom screwed in the light bulb.
Tom seem to have disappeared.|Tom seems to have disappeared.
Tom seldom go out on Monday.|Tom seldom goes out on Monday.
Tom show me his photo album.|Tom showed me his photo album.
Tom show us his photo album.|Tom showed us his photo album.
Tom sometimes come to see me.|Tom sometimes comes to see me.
Tom talk to a lot of people.|Tom talked to a lot of people.
Tom told me that he be sorry.|Tom told me that he was sorry.
Tom take a lot of photographs.|Tom took a lot of photographs.
Tom try to resuscitate Mary.|Tom tried to resuscitate Mary.
Tom turn off his headlights.|Tom turned off his headlights.
Tom use to eat a lot of meat.|Tom used to eat a lot of meat.
Tom visit Australia in 2013.|Tom visited Australia in 2013.
Tom wait for thirty minutes.|Tom waited for thirty minutes.
Tom walk as far as he could.|Tom walked as far as he could.
Tom walk into the courtroom.|Tom walked into the courtroom.
Tom walk to the parking lot.|Tom walked to the parking lot.
Tom walk towards the stairs.|Tom walked towards the stairs.
Tom want me to learn French.|Tom wanted me to learn French.
Tom want to be part of that.|Tom wanted to be part of that.
Tom want to become a lawyer.|Tom wanted to become a lawyer.
Tom want to dance with Mary.|Tom wanted to dance with Mary.
Tom want to make more money.|Tom wanted to make more money.
Tom want to protect himself.|Tom wanted to protect himself.
Tom want to see Mary's room.|Tom wanted to see Mary's room.
Tom want to apologize to you.|Tom wants to apologize to you.
Tom want to become a fireman.|Tom wants to become a fireman.
Tom want to become a teacher.|Tom wants to become a teacher.
Tom be a very tough opponent.|Tom was a very tough opponent.
Tom be arrested Monday night.|Tom was arrested Monday night.
Tom be convinced, but not me.|Tom was convinced, but not me.
Tom be found dead in his bed.|Tom was found dead in his bed.
Tom be one of the lucky ones.|Tom was one of the lucky ones.
Tom be the life of the party.|Tom was the life of the party.
Tom go back into his office.|Tom went back into his office.
Tom go down to the basement.|Tom went down to the basement.
Tom go home for the weekend.|Tom went home for the weekend.
Tom go to Boston for a week.|Tom went to Boston for a week.
Tom will be cremate tomorrow.|Tom will be cremated tomorrow.
Tom's advice be very helpful.|Tom's advice was very helpful.
Tom's bedroom door be closed.|Tom's bedroom door was closed.
Tom's favorite movie be Dumbo.|Tom's favorite movie is Dumbo.
Tom's house be near the beach.|Tom's house is near the beach.
Tom's name be on the envelope.|Tom's name is on the envelope.
Tom's new wife's name be Mary.|Tom's new wife's name is Mary.
Tom's prediction be accurate.|Tom's prediction was accurate.
Tom's situation be different.|Tom's situation was different.
Truer words be never spoken.|Truer words were never spoken.
Try to see things as they be.|Try to see things as they are.
Two doctors be talking shop.|Two doctors were talking shop.
Two heads be better than one.|Two heads are better than one.
Was I not suppose to eat yet?|Was I not supposed to eat yet?
Was Tom here when we get here?|Was Tom here when we got here?
Wash your hands before eat.|Wash your hands before eating.
Water be important for humans.|Water is important for humans.
We all escape without injury.|We all escaped without injury.
We be badly in want of water.|We are badly in want of water.
We be going to travel by car.|We are going to travel by car.
We be listening to the radio.|We are listening to the radio.
We be looking for each other.|We are looking for each other.
We be not here to arrest you.|We are not here to arrest you.
We be staying at our uncle's.|We are staying at our uncle's.
We don't stay home yesterday.|We didn't stay home yesterday.
We get there at the same time.|We got there at the same time.
We have a fire drill yesterday.|We had a fire drill yesterday.
We have a good time last night.|We had a good time last night.
We have a very vigorous debate.|We had a very vigorous debate.
We have better call the police.|We had better call the police.
We have nice weather yesterday.|We had nice weather yesterday.
We have to put off the meeting.|We had to put off the meeting.
We have achieve all our aims.|We have achieved all our aims.
We have make friends with Tom.|We have made friends with Tom.
We have things all work out.|We have things all worked out.
We hope you enjoy your stay.|We hope you enjoyed your stay.
We look around the property.|We looked around the property.
We make fun of him about this.|We made fun of him about this.
We met at the designate spot.|We met at the designated spot.
We must make up for lose time.|We must make up for lost time.
We need to get something do.|We need to get something done.
We need to know what happen.|We need to know what happened.
We plan to go hike tomorrow.|We plan to go hiking tomorrow.
We really have nothing to lose.|We really had nothing to lose.
We shouldn't be see together.|We shouldn't be seen together.
We show them what we can do.|We showed them what we can do.
We spent hours look for it.|We spent hours looking for it.
We thought he be an American.|We thought he was an American.
We take turns driving the car.|We took turns driving the car.
We visit our father's grave.|We visited our father's grave.
We want to get out of there.|We wanted to get out of there.
We go on a really long walk.|We went on a really long walk.
We go swimming at the beach.|We went swimming at the beach.
We go to the beach together.|We went to the beach together.
We be actually pretty lucky.|We were actually pretty lucky.
We be caught in a snowstorm.|We were caught in a snowstorm.
We be children at that time.|We were children at that time.
We be proud of our strength.|We were proud of our strength.
We be there for a long time.|We were there for a long time.
We're all go to die anyway.|We're all going to die anyway.
We're go to need some help.|We're going to need some help.
We're go to paint the wall.|We're going to paint the wall.
We're just have a good time.|We're just having a good time.
We're just not use to it yet.|We're just not used to it yet.
We're not get any younger.|We're not getting any younger.
We're try to close the box.|We're trying to close the box.
We're very excite about that.|We're very excited about that.
We're work to fix this bug.|We're working to fix this bug.
We've already see this movie.|We've already seen this movie.
We've be friends ever since.|We've been friends ever since.
We've just finish breakfast.|We've just finished breakfast.
We've paint the walls white.|We've painted the walls white.
Well, what do that tell you?|Well, what does that tell you?
What a beautiful woman she be!|What a beautiful woman she is!
What be we having for supper?|What are we having for supper?
What be you doing in my room?|What are you doing in my room?
What be you doing these days?|What are you doing these days?
What be you going to do next?|What are you going to do next?
What be you snickering about?|What are you snickering about?
What be you still doing here?|What are you still doing here?
What day be you usually free?|What day are you usually free?
What do I do to deserve this?|What did I do to deserve this?
What do Tom put into the bag?|What did Tom put into the bag?
What do you do with my pants?|What did you do with my pants?
What do you do with that car?|What did you do with that car?
What do you expect to happen?|What did you expect to happen?
What do you think I be doing?|What do you think I was doing?
What exactly be you implying?|What exactly are you implying?
What go around comes around.|What goes around comes around.
What happen can't be undone.|What happened can't be undone.
What happen to my furniture?|What happened to my furniture?
What have I do with my keys?|What have I done with my keys?
What he say may well be true.|What he said may well be true.
What if something get broken?|What if something gets broken?
What be done cannot be undone.|What is done cannot be undone.
What be the depth of the lake?|What is the depth of the lake?
What be the name of that bird?|What is the name of that bird?
What be the price of thbe cap?|What is the price of this cap?
What be the title of the book?|What is the title of the book?
What be there to be afraid of?|What is there to be afraid of?
What be wrong with you people?|What is wrong with you people?
What be your favorite holiday?|What is your favorite holiday?
What kind of meal do you eat?|What kind of meal did you eat?
What make him change his mind?|What made him change his mind?
What precisely do that mean?|What precisely does that mean?
What prompt you to move out?|What prompted you to move out?
What sort of danger be we in?|What sort of danger are we in?
What time be you coming back?|What time are you coming back?
What time do the meeting end?|What time did the meeting end?
What time do the store open?|What time does the store open?
What time do your class end?|What time does your class end?
What time be it by your clock?|What time is it by your clock?
What time be it by your watch?|What time is it by your watch?
What be it that you gave him?|What was it that you gave him?
What you do to Tom was cruel.|What you did to Tom was cruel.
What you be taught is wrong.|What you were taught is wrong.
What're you do with my car?|What're you doing with my car?
What's the teacher explain?|What's the teacher explaining?
What's wrong with be naked?|What's wrong with being naked?
When do he say he would come?|When did he say he would come?
When do you arrive in Boston?|When did you arrive in Boston?
When do you become a teacher?|When did you become a teacher?
When do you two start dating?|When did you two start dating?
When do the restaurant open?|When does the restaurant open?
When be the last time we met?|When was the last time we met?
Where be the other prisoners?|Where are the other prisoners?
Where be the toilets, please?|Where are the toilets, please?
Where be you going on Monday?|Where are you going on Monday?
Where do the accident happen?|Where did the accident happen?
Where do the money come from?|Where did the money come from?
Where do you get on this bus?|Where did you get on this bus?
Where do you get to know her?|Where did you get to know her?
Where do you hear that story?|Where did you hear that story?
Where do you put my umbrella?|Where did you put my umbrella?
Where do you see those women?|Where did you see those women?
Where do all this come from?|Where does all this come from?
Where have you be up to now?|Where have you been up to now?
Where on earth do you get it?|Where on earth did you get it?
Which doctor be attending you?|Which doctor is attending you?
Which group be your friend in?|Which group is your friend in?
Which of them be your brother?|Which of them is your brother?
Who be you trying to impress?|Who are you trying to impress?
Who bury the gold bars here?|Who buried the gold bars here?
Who do you write a letter to?|Who did you write a letter to?
Who else be we talking about?|Who else are we talking about?
Who have eaten all the cookies?|Who has eaten all the cookies?
Who be going to speak tonight?|Who is going to speak tonight?
Who be their homeroom teacher?|Who is their homeroom teacher?
Who be your favorite composer?|Who is your favorite composer?
Who be the letter written to?|Who was the letter written to?
Why be all these people here?|Why are all these people here?
Why be you making me do this?|Why are you making me do this?
Why be you really doing this?|Why are you really doing this?
Why be you wearing a sweater?|Why are you wearing a sweater?
Why ben't you coming with us?|Why aren't you coming with us?
Why do Tom leave so suddenly?|Why did Tom leave so suddenly?
Why do the police arrest Tom?|Why did the police arrest Tom?
Why do you come home so late?|Why did you come home so late?
Why don't she come yesterday?|Why didn't she come yesterday?
Why don't they say something?|Why didn't they say something?
Why don't you call me sooner?|Why didn't you call me sooner?
Why don't you dance with him?|Why didn't you dance with him?
Why do Tom want to go there?|Why does Tom want to go there?
Why don't anyone believe me?|Why doesn't anyone believe me?
Why have you be avoiding me?|Why have you been avoiding me?
Why be everyone looking at me?|Why is everyone looking at me?
Why be everyone looking at us?|Why is everyone looking at us?
Why ben't I informed earlier?|Why wasn't I informed earlier?
Why be 14,000 soldiers lost?|Why were 14,000 soldiers lost?
Why be you absent yesterday?|Why were you absent yesterday?
Why be you holding his hand?|Why were you holding his hand?
Winter be cold, but I like it.|Winter is cold, but I like it.
Wiser words be never spoken.|Wiser words were never spoken.
Would you mind come with me?|Would you mind coming with me?
Would you mind not do that?|Would you mind not doing that?
Would you please stop sing?|Would you please stop singing?
Would you please stop talk?|Would you please stop talking?
You be a beautiful butterfly.|You are a beautiful butterfly.
You be nothing but a student.|You are nothing but a student.
You be so childish sometimes.|You are so childish sometimes.
You be the tallest of us all.|You are the tallest of us all.
You be twice as strong as me.|You are twice as strong as me.
You broke the wash machine.|You broke the washing machine.
You can't trust what she say.|You can't trust what she says.
You don't have to wake me up.|You didn't have to wake me up.
You don't tell me Tom smoked.|You didn't tell me Tom smoked.
You don't tell me everything.|You didn't tell me everything.
You drop your handkerchief.|You dropped your handkerchief.
You get here late, didn't you?|You got here late, didn't you?
You have a week to finish this.|You had a week to finish this.
You have better see the doctor.|You had better see the doctor.
You have plenty of opportunity.|You had plenty of opportunity.
You have do a wonderful job.|You have done a wonderful job.
You have get to be kidding me.|You have got to be kidding me.
You make a great contribution.|You made a great contribution.
You must have see them there.|You must have seen them there.
You needn't have take a taxi.|You needn't have taken a taxi.
You never should've do that.|You never should've done that.
You say we'd never catch Tom.|You said we'd never catch Tom.
You say you wanted the truth.|You said you wanted the truth.
You should avoid binge eat.|You should avoid binge eating.
You should have visit Kyoto.|You should have visited Kyoto.
You should have work harder.|You should have worked harder.
You should've call the cops.|You should've called the cops.
You should've say so earlier.|You should've said so earlier.
